rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1900	17	0	0	20	2	1	5	28	28	25	5.242170e-16	9.478000e-02	1.000000e-05	1.000000e-16	4.593500e-13
2	ZKSCAN1	zinc finger with KRAB and SCAN domains 1	1712	172	0	0	0	0	0	19	19	19	1	4.614096e-16	1.000000e-05	1	1.000000e-16	4.593500e-13
3	FUT1	fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)	1724	5	0	1	0	0	0	11	11	11	1	1.000000e-16	1.000000e-05	9.599800e-01	1.000000e-16	4.593500e-13
4	H1F0	H1 histone family, member 0	585	8	0	0	0	0	0	7	7	7	1	6.868896e-14	1.000000e-05	9.978700e-01	1.000000e-16	4.593500e-13
5	SPOP	speckle-type POZ protein	1161	25	0	0	9	0	1	0	10	10	7	1.140496e-11	1.200000e-04	3.725000e-02	6.372680e-14	2.341833e-10
6	ZNF19	zinc finger protein 19	1393	4	0	0	0	0	0	4	4	4	1	8.914340e-10	1.000000e-04	3.858100e-01	2.767786e-12	8.475883e-09
7	MPHOSPH10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	2090	1	0	0	0	0	0	4	4	4	1	1.172988e-08	1.000000e-04	9.995700e-01	3.339673e-11	8.215895e-08
8	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	2480	25	0	0	0	0	0	6	6	6	1	1.259558e-07	1.000000e-05	3.869400e-01	3.577183e-11	8.215895e-08
9	RIOK2	RIO kinase 2 (yeast)	1723	5	0	0	1	0	0	5	6	6	2	3.148394e-07	1.000000e-05	1.307100e-01	8.653089e-11	1.766576e-07
10	COIL	coilin	1757	78	0	0	0	0	0	5	5	5	1	2.950969e-05	1.000000e-05	8.127900e-01	6.770620e-09	1.244034e-05
11	CA3	carbonic anhydrase III, muscle specific	809	7	0	0	1	1	0	3	5	5	3	6.610698e-07	5.000000e-04	3.037000e-01	1.088211e-08	1.817708e-05
12	BCAS4	breast carcinoma amplified sequence 4	731	16	0	0	4	0	0	0	4	4	2	1.043602e-06	1.350000e-03	7.598500e-01	3.962248e-08	6.066862e-05
13	DAP3	death associated protein 3	1424	14	0	0	0	0	4	0	4	4	1	1.120505e-06	2.400000e-03	5.930000e-02	1.035165e-07	1.463087e-04
